Time,RtAeroFxi,RtAeroFyi,RtAeroFzi,RtAeroMxi,RtAeroMyi,RtAeroMzi
0.0,1152161.838936406,5914.83937803775,-169991.3736076611,9630441.811183648,-968359.6802792521,-1111916.5364682418
0.05,1152141.2892256652,5885.46069142622,-169981.34691349964,9653420.77504268,-967440.6919689386,-1116505.788353669
0.1,1152154.0897794096,5903.760873927889,-169987.59260907717,9639107.023108156,-968013.1360001513,-1113647.1123291089
0.15,1152190.0878849577,5955.225202299006,-170005.1569436448,9598853.455707185,-969622.9804699387,-1105607.8568942966
0.2,1152189.2381966906,5954.0104540413495,-170004.74236046674,9599803.588593641,-969584.9821937216,-1105797.613019391
0.25,1152185.1214570361,5948.124998732983,-170002.73370496902,9604406.982428538,-969400.8805454492,-1106716.981445477
0.3,1152209.9249196644,5983.585018809423,-170014.83590616565,9576671.41580667,-970510.0977260749,-1101177.762958793
0.35000001,1152174.5428381101,5933.0013829251075,-169997.57214440213,9616236.136864962,-968927.8020065449,-1109079.4452029117
0.40000001,1152166.8722772785,5922.035243029071,-169993.82949476215,9624813.46149748,-968584.7725679938,-1110792.4686222088
0.45000001,1152173.050573091,5930.867981297587,-169996.84403269566,9617904.807746809,-968861.0675339383,-1109412.7043976109
0.50000001,1152190.8409211843,5956.301772942361,-170005.52436798636,9598011.400436556,-969656.6564422363,-1105439.6855284304
0.55000001,1152184.6658117028,5947.473589979808,-170002.51138473977,9604916.491188906,-969380.5039698276,-1106818.7381675602
0.60000001,1152172.2635493337,5929.742820723931,-169996.460025027,9618784.86833289,-968825.8716305922,-1109588.4660084797
0.65000001,1152180.9016926794,5942.092255198373,-170000.67478126095,9609125.57987592,-969212.1716061854,-1107659.3578017312
0.70000001,1152177.6123369753,5937.389661005905,-169999.06982613288,9612803.781812627,-969065.0707793795,-1108393.9512010058
0.75000001,1152195.044753886,5962.311739947139,-170007.57551825984,9593310.617980795,-969844.652913821,-1104500.867099522
0.80000001,1152177.414784453,5937.1072320359945,-169998.97343554397,9613024.687708732,-969056.2361801589,-1108438.069500091
0.85000001,1152184.3779798024,5947.062094007528,-170002.3709446882,9605238.348704193,-969367.6320537591,-1106883.0180549356
0.90000001,1152211.729445122,5986.164840421634,-170015.71637719008,9574653.571089048,-970590.7965651914,-1100774.7683881216
0.95000001,1152207.9440838918,5980.75313693375,-170013.8694091318,9578886.41309823,-970421.5142446435,-1101620.131925421
1.00000001,1152223.2968887687,6002.702119514364,-170021.36040893043,9561718.699506005,-971108.0955980435,-1098191.4759401071
1.05000002,1152229.6143210349,6011.733772810075,-170024.44283485934,9554654.461495176,-971390.6127817186,-1096780.6391500242
1.10000002,1152200.6845597592,5970.374631507361,-170010.32731410422,9587004.11094692,-970096.8664722127,-1103241.3608192028
1.15000002,1152209.1102810383,5982.420378917391,-170014.43842454368,9577582.355711563,-970473.6668787517,-1101359.691643728
1.20000002,1152203.9420521534,5975.031672640168,-170011.91672236312,9583361.538993455,-970242.5423636604,-1102513.8832746195
1.25000002,1152197.280496139,5965.508046300108,-170008.66639024712,9590810.5808233,-969944.6358781175,-1104001.5712953655
1.30000002,1152199.4769403096,5968.648170546162,-170009.7380877624,9588354.487311801,-970042.861422139,-1103511.0517119942
1.35000002,1152188.6115515935,5953.114577201327,-170004.4366053729,9600504.311597403,-969556.9584650114,-1105937.5581616482
1.40000002,1152165.4033786866,5919.935246978637,-169993.11278409307,9626456.00372495,-968519.0830479832,-1111120.5095234676
1.45000002,1152178.5469940691,5938.725884089331,-169999.52586762875,9611758.635637522,-969106.8688832184,-1108185.2194634012
1.50000002,1152186.7358647438,5950.433020422536,-170003.52141300734,9602601.729944266,-969473.0772702618,-1106356.4448077967
1.55000002,1152154.8088281057,5904.7888546409295,-169987.9434500916,9638302.973152993,-968045.2920413999,-1113486.5312082479
1.60000002,1152165.3322172943,5919.83351181206,-169993.0780627519,9626535.577354189,-968515.9006923501,-1111136.4015989439
1.65000002,1152170.1000305833,5926.64976797286,-169995.40439260984,9621204.14419504,-968729.118519774,-1110071.6325420036
1.70000003,1152194.207810943,5961.115212913342,-170007.16715382945,9594246.49887396,-969807.224611747,-1104687.776882741
1.75000003,1152173.6018083543,5931.656049229742,-169997.1129935324,9617288.40903672,-968885.7189156341,-1109289.6001114554
1.80000003,1152194.0283142966,5960.858597343912,-170007.07957313306,9594447.214446224,-969799.1974758961,-1104727.8628641672
1.85000003,1152214.7086646087,5990.424051500054,-170017.17000945815,9571322.167655902,-970724.0280211779,-1100109.4359745071
1.90000003,1152199.179549416,5968.223008655978,-170009.59298365007,9588687.033822063,-970029.562025463,-1103577.4663557778
1.95000003,1152173.2013927584,5931.0835991133235,-169996.91762120975,9617736.159159461,-968867.8122279668,-1109379.022685406
2.00000003,1152165.76343409,5920.449996552821,-169993.2884637148,9626053.38491431,-968535.1848175303,-1111040.1003654585
2.05000003,1152204.4635483273,5975.77722438331,-170012.17117278866,9582778.39493439,-970265.8638056888,-1102397.4204528418
2.10000003,1152219.016584123,5996.582825166395,-170019.27194617095,9566504.99392155,-970916.6792815992,-1099147.3724202744
2.15000003,1152193.8668735258,5960.627795174958,-170007.00080232925,9594627.73969465,-969791.9778034149,-1104763.9165279348
2.20000003,1152196.7887390545,5964.805010745988,-170008.4264502328,9591360.470231337,-969922.6443757568,-1104111.3926527642
2.25000003,1152206.1045087934,5978.123206955918,-170012.9718365513,9580943.450797413,-970339.2479766334,-1102030.9539362516
2.30000003,1152238.2354706156,6024.058912319359,-170028.64929942976,9545014.175695939,-971776.1527917873,-1094855.3260657785
2.35000004,1152225.2320537972,6005.468708671184,-170022.30462211848,9559554.771857096,-971194.6366721281,-1097759.3063652033
2.40000004,1152221.4806800976,6000.105595113611,-170020.47423738733,9563749.608550815,-971026.8742826291,-1098597.0796574983
2.45000004,1152184.4183399952,5947.119794549762,-170002.39063738918,9605193.217392089,-969369.4369718792,-1106874.0046389943
2.50000004,1152162.776779831,5916.180156427145,-169991.8312038439,9629393.102010215,-968401.6208766269,-1111707.0931451677
2.55000004,1152115.335497545,5848.356205895976,-169968.6834703257,9682442.58405959,-966280.0346218839,-1122301.8891947002
2.60000004,1152151.7956210882,5900.481053632199,-169986.4732344964,9641672.381901603,-967910.5406543645,-1114159.4538668669
2.65000004,1152144.2323334003,5889.6682757036915,-169982.78292598267,9650129.752257206,-967572.308498186,-1115848.5205753706
2.70000004,1152132.8879329236,5873.449868028599,-169977.24772232655,9662815.213957552,-967064.9840128409,-1118382.0020405476
2.75000004,1152147.0607332196,5893.711868966389,-169984.16296973664,9646966.997411396,-967698.7952601443,-1115216.8698739589
2.80000004,1152126.953922488,5864.966369884162,-169974.35237705676,9669450.704503363,-966799.613551309,-1119707.2113791804
2.85000004,1152159.0232819107,5910.814005998929,-169989.9997826548,9633590.314036151,-968233.7634914373,-1112545.3408277757
2.90000004,1152175.3840294946,5934.203983700191,-169997.98258174842,9615295.505307367,-968965.4202999999,-1108891.5866390676
2.95000004,1152148.6953210237,5896.048740927064,-169984.96052412543,9645139.179271068,-967771.8944440171,-1114851.826528307
3.00000004,1152104.476481491,5832.831723163068,-169963.38509731003,9694585.282348547,-965794.4166518279,-1124726.9724734167
3.05000005,1152086.7873299737,5794.5209650941115,-169951.4781369331,9721593.543383319,-964929.1639975454,-1130255.5540855855
3.10000005,1152079.9526235163,5774.347224715475,-169945.52622825137,9735010.432124894,-964564.2467424718,-1133042.6541366763
3.15000005,1152081.4191198738,5778.675825653649,-169946.80330612688,9732131.622538565,-964642.5456172973,-1132444.6369286869
3.20000005,1152072.8108033803,5753.266988694671,-169939.30687391106,9749030.201192448,-964182.932136423,-1135954.990956119
3.25000005,1152062.487102864,5722.794918641418,-169930.31662347185,9769296.169027692,-963631.7312211967,-1140164.855185967
3.30000005,1152068.105913159,5739.379745046404,-169935.2096859586,9758266.148491208,-963931.729596014,-1137873.5810021465
3.35000005,1152070.7049625618,5747.051259282093,-169937.47303183915,9753164.077628402,-964070.4975123549,-1136813.724113095
3.40000005,1152088.4011038945,5799.284279555848,-169952.8834694181,9718425.62018342,-965015.3262860355,-1129597.4790964911
3.45000005,1152120.7055273934,5856.033414884394,-169971.30363601106,9676437.744217163,-966520.1837275767,-1121102.6304840983
3.50000005,1152136.6085054234,5878.768946961833,-169979.0630784175,9658654.819580965,-967231.368964827,-1117551.1074077869
3.55000005,1152161.3652351971,5914.1621558841025,-169991.14247753934,9630971.51026785,-968338.4962402609,-1112022.3255079826
3.60000005,1152123.550920978,5860.101303112233,-169972.6919714286,9673255.986713633,-966647.430455059,-1120467.1846601863
3.65000005,1152109.5225676876,5840.045809378251,-169965.84720315877,9688942.680669084,-966020.0789147128,-1123600.0582855078
3.70000006,1152092.7383710507,5812.086424331336,-169956.6605179576,9709911.33632319,-965246.90077063,-1127828.8007211306
3.75000006,1152116.388048886,5849.860975300148,-169969.19703523754,9681265.60694649,-966327.1049865478,-1122066.8287947392
3.80000006,1152135.3180413677,5876.924048045515,-169978.4334302158,9660097.833902271,-967173.6590828223,-1117839.2995227743
3.85000006,1152128.2433244335,5866.80975036517,-169974.98150702944,9668008.877848154,-966857.2759354688,-1119419.2564593474
3.90000006,1152136.928200634,5879.225995993778,-169979.21906533823,9658297.332082434,-967245.6658162537,-1117479.7116657195
3.95000006,1152102.6390306132,5830.2048300558745,-169962.4885611875,9696639.944715519,-965712.245379508,-1125137.3200939354
4.00000006,1152125.9905884152,5863.5891490470385,-169973.88234337862,9670527.917663388,-966756.5330056477,-1119922.3473860072
4.05000006,1152092.0533591283,5810.064500965902,-169956.06398489003,9711256.05080493,-965210.3267535843,-1128108.1392379021
4.10000006,1152090.1912683854,5804.568239284192,-169954.44240916803,9714911.433004465,-965110.906383915,-1128867.474439327
4.15000006,1152117.5245069433,5851.485701094771,-169969.75154023818,9679994.804210851,-966377.9276809884,-1121813.0299774243
4.20000006,1152122.8711703643,5859.129504506106,-169972.36030488616,9674016.0930228,-966617.0318340854,-1120618.989560262
4.25000006,1152094.8059653705,5818.189263022673,-169958.4610535999,9705852.539779138,-965357.2933454128,-1126985.663964675
4.30000006,1152086.1708192432,5792.701234065218,-169950.94125717226,9722803.786416886,-964896.2473822043,-1130506.9587506803
4.35000006,1152082.7508972199,5782.606781663283,-169947.96306583242,9729517.27346698,-964713.6516021036,-1131901.5562956631
4.40000007,1152080.4121523476,5775.703598306458,-169945.92640251754,9734108.352826724,-964588.7818122401,-1132855.2645483415
4.45000007,1152083.732176799,5785.503186884266,-169948.8175994517,9727590.969971888,-964766.0438815216,-1131501.403870388
4.50000007,1152069.7545085193,5744.245840612549,-169936.6453422079,9755029.868971819,-964019.7510637039,-1137201.3063051163
4.55000007,1152064.6254817492,5729.106689413851,-169932.17880086447,9765098.418653857,-963745.9031110744,-1139292.8534494445
4.60000007,1152056.149600894,5704.088757638861,-169924.79769837504,9781737.019174602,-963293.3606068288,-1142749.2020303004
4.65000007,1152053.67956207,5696.798038970325,-169922.64669955557,9786585.835476682,-963161.4807970315,-1143756.4501653602
