# Time(s),U_avg(m/s)
0.000000000000000000e+00,1.045218230164423190e+01
5.000000000000000278e-02,1.046695970403019516e+01
1.000000000000000056e-01,1.045775476018299344e+01
1.499999999999999944e-01,1.043186833786195855e+01
2.000000000000000111e-01,1.043247935305261009e+01
2.500000000000000000e-01,1.043543972165132949e+01
2.999999999999999889e-01,1.041760342446715626e+01
3.500000099999999725e-01,1.044304686077496669e+01
4.000000100000000169e-01,1.044856280040859531e+01
4.500000100000000058e-01,1.044411995620355427e+01
5.000000100000000502e-01,1.043132682564923996e+01
5.500000099999999836e-01,1.043576737854731817e+01
6.000000100000000280e-01,1.044468590902389771e+01
6.500000099999999614e-01,1.043847417584191284e+01
7.000000100000000058e-01,1.044083956839873117e+01
7.500000100000000502e-01,1.042830382799348143e+01
8.000000099999999836e-01,1.044098162943055996e+01
8.500000100000000280e-01,1.043597435994315070e+01
9.000000099999999614e-01,1.041630578095600512e+01
9.500000100000000058e-01,1.041902785363036799e+01
1.000000009999999939e+00,1.040798757290424170e+01
1.050000019999999923e+00,1.040344467496172953e+01
1.100000019999999967e+00,1.042424821466551599e+01
1.150000020000000012e+00,1.041818923528119534e+01
1.200000020000000056e+00,1.042190573517834729e+01
1.250000020000000100e+00,1.042669609427307265e+01
1.300000019999999923e+00,1.042511662000523209e+01
1.350000019999999967e+00,1.043292997675571776e+01
1.400000020000000012e+00,1.044961909291943947e+01
1.450000020000000056e+00,1.044016745168901217e+01
1.500000020000000100e+00,1.043427879278908676e+01
1.550000019999999923e+00,1.045723768857790326e+01
1.600000019999999967e+00,1.044967026544165556e+01
1.650000020000000012e+00,1.044624170645310102e+01
1.700000029999999995e+00,1.042890567795627454e+01
1.750000030000000040e+00,1.044372356009861846e+01
1.800000030000000084e+00,1.042903475491529974e+01
1.850000029999999906e+00,1.041416340894377512e+01
1.900000029999999951e+00,1.042533047532196200e+01
1.950000029999999995e+00,1.044401150100721232e+01
2.000000029999999818e+00,1.044936017523239968e+01
2.050000030000000084e+00,1.042153072460508234e+01
2.100000029999999906e+00,1.041106556192715971e+01
2.150000030000000173e+00,1.042915084780152490e+01
2.200000029999999995e+00,1.042704971931466496e+01
2.250000029999999818e+00,1.042035070151813336e+01
2.300000030000000084e+00,1.039724516208356064e+01
2.350000039999999846e+00,1.040659598580752743e+01
2.400000040000000112e+00,1.040929361787426544e+01
2.450000039999999935e+00,1.043594533672159663e+01
2.500000040000000201e+00,1.045150789362754651e+01
2.550000040000000023e+00,1.048562316302871267e+01
2.600000039999999846e+00,1.045940450119775988e+01
2.650000040000000112e+00,1.046484330016356878e+01
2.700000039999999935e+00,1.047300111672778300e+01
2.750000040000000201e+00,1.046280938334767718e+01
2.800000040000000023e+00,1.047726829406551197e+01
2.850000039999999846e+00,1.045420705323225974e+01
2.900000040000000112e+00,1.044244195573622136e+01
2.950000039999999935e+00,1.046163394287465742e+01
3.000000040000000201e+00,1.049343193716527090e+01
3.050000049999999963e+00,1.051144695629270842e+01
3.100000049999999785e+00,1.052059156238983206e+01
3.150000050000000051e+00,1.051862943985884513e+01
3.200000049999999874e+00,1.053014707620266854e+01
3.250000050000000140e+00,1.054395983835638617e+01
3.300000049999999963e+00,1.053644206020437935e+01
3.350000049999999785e+00,1.053296462000057154e+01
3.400000050000000051e+00,1.050928778136273678e+01
3.450000049999999874e+00,1.048176154702378149e+01
3.500000050000000140e+00,1.047032563396170701e+01
3.550000049999999963e+00,1.045252294261302239e+01
3.600000049999999785e+00,1.047971540990408101e+01
3.650000050000000051e+00,1.048980327070177410e+01
3.700000059999999813e+00,1.050348466458950192e+01
3.750000060000000079e+00,1.048486626796129251e+01
3.800000059999999902e+00,1.047125361328251358e+01
3.850000060000000168e+00,1.047634107851369301e+01
3.900000059999999991e+00,1.047009573949622308e+01
3.950000059999999813e+00,1.049475325751505927e+01
4.000000059999999635e+00,1.047796103253791600e+01
4.050000060000000346e+00,1.050440118737548190e+01
4.100000060000000168e+00,1.050689260181537321e+01
4.150000059999999991e+00,1.048404903514379249e+01
4.200000059999999813e+00,1.048020422205660296e+01
4.250000059999999635e+00,1.050071829331381679e+01
4.300000060000000346e+00,1.051227182680009165e+01
4.350000060000000168e+00,1.051684756680910127e+01
4.400000069999999930e+00,1.051997672835423714e+01
4.450000069999999752e+00,1.051553464791818371e+01
